"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
111,"44109","NANTES","all","h",6414,134799,47.5819553557519,"Fédération Française de football",277
111,"44109","NANTES","45_59","all",464,48534,9.56030823752421,"Fédération Française de football",278
111,"44109","NANTES","10_14","h",1218,6932,175.706866705136,"Fédération Française de football",279
111,"44109","NANTES","5_9","h",726,7228,100.442722744881,"Fédération Française de football",280
111,"44109","NANTES","5_9","f",15,7196,2.08449138410228,"Fédération Française de football",281
111,"44109","NANTES","15_19","all",871,21451,40.6041676378724,"Fédération Française de football",282
111,"44109","NANTES","15_19","f",29,11317,2.56251656799505,"Fédération Française de football",283
111,"44109","NANTES","20_29","h",1629,30378,53.6243333991705,"Fédération Française de football",284
111,"44109","NANTES","15_19","h",841,10134,82.9879613183343,"Fédération Française de football",285
111,"44109","NANTES","10_14","f",41,6837,5.99678221442153,"Fédération Française de football",286
111,"44109","NANTES","all","f",208,150160,1.38518913159297,"Fédération Française de football",287
111,"44109","NANTES","30_44","f",35,27534,1.27115566209051,"Fédération Française de football",288
111,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française de football",289
111,"44109","NANTES","5_9","all",741,14424,51.3727121464226,"Fédération Française de football",290
111,"44109","NANTES","75_99","h",9,7393,1.21736778033275,"Fédération Française de football",291
111,"44109","NANTES","60_74","f",7,16920,0.41371158392435,"Fédération Française de football",292
111,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de football",293
111,"44109","NANTES","60_74","all",107,29235,3.65999657944245,"Fédération Française de football",294
111,"44109","NANTES","30_44","h",1445,29334,49.2602440853617,"Fédération Française de football",295
111,"44109","NANTES","30_44","all",1480,56868,26.0251811211929,"Fédération Française de football",296
111,"44109","NANTES","45_59","f",18,25920,0.694444444444444,"Fédération Française de football",297
111,"44109","NANTES","60_74","h",100,12316,8.11951932445599,"Fédération Française de football",298
111,"44109","NANTES","20_29","all",1691,61559,27.4695820269985,"Fédération Française de football",299
111,"44109","NANTES","45_59","h",446,22614,19.7222959228796,"Fédération Française de football",300
112,"44109","NANTES","10_14","h",11,6932,1.5868436237738,"Fédération Française des sports de glace",301
112,"44109","NANTES","5_9","h",9,7228,1.24515771997786,"Fédération Française des sports de glace",302
112,"44109","NANTES","all","all",262,284959,0.919430514565253,"Fédération Française des sports de glace",303
112,"44109","NANTES","0_4","h",5,8470,0.590318772136954,"Fédération Française des sports de glace",304
112,"44109","NANTES","30_44","h",2,29334,0.0681802686302584,"Fédération Française des sports de glace",305
112,"44109","NANTES","15_19","h",0,10134,0,"Fédération Française des sports de glace",306
112,"44109","NANTES","20_29","h",1,30378,0.032918559483837,"Fédération Française des sports de glace",307
